RK,ID,NAME,TEAM,BYE,AGE,POS,POS RK,PTS,ADP
122,20868, Alexander Mattison,MIN,7,22,RB,RB47,101.24,114.5
123,16866, Jamison Crowder,NYJ,6,27,WR,WR47,164.51,115.4
124,18879, Corey Davis,NYJ,6,26,WR,WR48,188.61,115.5
125,21756, Nico Collins,HOU,10,22,WR,WR49,90.5,115.7
126,19003, Tarik Cohen,CHI,10,25,RB,RB48,123.08,116.5
127,21694, Henry Ruggs III,LV,8,22,WR,WR50,140.88,118.9
128,20798, Darrell Henderson Jr.,LAR,11,23,RB,RB49,108.49,120
129,36, Baltimore Ravens,BAL,8,,DST,DST3,108,120.6
130,19867, Michael Gallup,DAL,7,25,WR,WR51,184.27,120.7
131,34, Tennessee Titans,TEN,13,,DST,DST4,87,122.3
132,19799, Rashaad Penny,SEA,9,25,RB,RB50,88.32,122.5
133,95, Tampa Bay Buccaneers,TB,9,,DST,DST5,95,123.8
134,14005, T.Y. Hilton,IND,14,31,WR,WR52,169.17,125
135,22558, Javonte Williams,DEN,11,21,RB,RB51,152.51,125.2
136,14252, Kirk Cousins,MIN,7,32,QB,QB16,282.03,125.5
137,14, Indianapolis Colts,IND,14,,DST,DST6,103,126.6
138,19790, Baker Mayfield,CLE,13,26,QB,QB17,275.66,127.2
139,97, Washington Football Team,WAS,9,,DST,DST7,89,127.3
140,18990, Jonnu Smith,NE,14,25,TE,TE13,138.22,127.8
141,18998, Marlon Mack,IND,14,25,RB,RB52,62.33,128.6
142,21801, Trey Sermon,SF,6,22,RB,RB53,126.96,129.8
143,13870, Marvin Jones Jr.,JAX,7,31,WR,WR53,184.92,130.8
144,21687, DeVonta Smith,PHI,14,22,WR,WR54,186.07,131.6
145,18914, Mike Williams,LAC,7,26,WR,WR55,182.8,132.2
146,17920, Carson Wentz,IND,14,28,QB,QB18,266.81,132.6
146,19491, Robert Tonyan,GB,13,27,TE,TE14,152.29,132.6
148,22553, Michael Carter,NYJ,6,22,RB,RB54,137.65,134.1
149,16056, James White,NE,14,29,RB,RB55,134.99,135.4
150,21961, Darnell Mooney,CHI,10,23,WR,WR56,150.2,136.9
151,21677, Tua Tagovailoa,MIA,14,23,QB,QB19,269.69,137.2
152,16031, Damien Williams,CHI,10,29,RB,RB56,78.42,137.9
153,22598, Jaylen Waddle,MIA,14,22,WR,WR57,170.66,138
154,19853, Mike Gesicki,MIA,14,25,TE,TE15,157.54,138.8
155,22614, Kadarius Toney,NYG,10,22,WR,WR58,115.71,139.3
156,93, San Francisco 49ers,SF,6,,DST,DST8,105,140.2
157,19843, Hayden Hurst,ATL,6,27,TE,TE16,104.6,141.5
158,22562, Kenny Gainwell,PHI,14,22,RB,RB57,82.48,142.7
159,21735, Gabriel Davis,BUF,7,22,WR,WR59,141.02,144.4
160,20788, Mecole Hardman,KC,12,23,WR,WR60,160.04,144.8
161,19565, Younghoe Koo,ATL,6,26,K,K1,132.3,145.1
162,21, New England Patriots,NE,14,,DST,DST9,104,145.4
163,17970, Devontae Booker,NYG,10,29,RB,RB58,68.73,145.6
164,14688, Justin Tucker,BAL,8,31,K,K2,139.3,145.8
165,22557, Javian Hawkins,ATL,6,21,RB,RB59,25.33,146.2
166,22623, Rashod Bateman,BAL,8,21,WR,WR61,153.92,146.3
167,18032, Tyler Higbee,LAR,11,28,TE,TE17,154.62,146.4
168,16834, Tevin Coleman,NYJ,6,28,RB,RB60,100.36,147.1
169,21691, Chuba Hubbard,CAR,13,21,RB,RB61,75.95,148.8
170,22569, D'Wayne Eskridge,SEA,9,24,WR,WR62,99.84,149.5
171,64, Miami Dolphins,MIA,14,,DST,DST10,83,149.7
172,20949, Irv Smith Jr.,MIN,7,22,TE,TE18,152.48,149.8
173,14867, Dustin Hopkins,WAS,9,30,K,K3,121.3,149.9
174,14916, Giovani Bernard,TB,9,29,RB,RB62,100.17,150.6
175,19073, Harrison Butker,KC,12,25,K,K4,138.9,150.9
176,21843, Salvon Ahmed,MIA,14,22,RB,RB63,67.97,151
177,22490, Trevor Lawrence,JAX,7,21,QB,QB20,291.42,151.4
178,90, Seattle Seahawks,SEA,9,,DST,DST11,93,151.7
179,22592, Elijah Moore,NYJ,6,21,WR,WR63,117.74,151.8
180,17963, Austin Hooper,CLE,13,26,TE,TE19,138.28,151.9
181,22626, Rondale Moore,ARI,12,20,WR,WR64,140.93,152.2
182,19815, Christian Kirk,ARI,12,24,WR,WR65,135.74,152.3
183,20950, Benny Snell Jr.,PIT,7,23,RB,RB64,51.47,152.6
184,19937, Keke Coutee,HOU,10,24,WR,WR66,97.83,153.2
185,22535, Elijah Mitchell,SF,6,23,RB,RB65,26.26,153.5
186,22587, Amon-Ra St. Brown,DET,9,21,WR,WR67,134.33,153.7
187,37, Buffalo Bills,BUF,7,,DST,DST12,98,154
188,19238, Taysom Hill,NO,6,30,QB,QB21,119.56,154.5
189,21772, Cole Kmet,CHI,10,22,TE,TE20,123.81,154.7
189,22591, Dez Fitzpatrick,TEN,13,23,WR,WR68,70.64,154.7
191,8534, Jared Cook,LAC,7,34,TE,TE21,141.61,154.9
192,13320, Cam Newton,NE,14,32,QB,QB22,200.23,155.2
192,19296, Anthony Firkser,TEN,13,26,TE,TE22,130.83,155.2
194,3807, Ben Roethlisberger,PIT,7,39,QB,QB23,254.66,155.5
195,22492, Justin Fields,CHI,10,22,QB,QB24,220.48,155.6
195,22613, Joshua Palmer,LAC,7,21,WR,WR69,65.39,155.6
197,18935, Gerald Everett,SEA,9,26,TE,TE23,113.6,155.9
198,16451, Eric Ebron,PIT,7,28,TE,TE24,126.11,156
199,14856, Zach Ertz,PHI,14,30,TE,TE25,119.84,156.2
200,16762, Jameis Winston,NO,6,27,QB,QB25,238.39,156.3
201,12, Green Bay Packers,GB,13,,DST,DST13,92,156.4
202,48, Dallas Cowboys,DAL,7,,DST,DST14,86,157
203,19897, Tre'Quan Smith,NO,6,25,WR,WR70,143.27,157.2
204,22112, Rodrigo Blankenship,IND,14,24,K,K5,130.8,157.3
205,20145, Allen Lazard,GB,13,25,WR,WR71,128.38,157.4
206,16640, John Brown,LV,8,31,WR,WR72,146.63,157.8
