RK,ID,NAME,TEAM,POS,GAMES,PASSING YDS,PASSING TD,PASSING INT,RUSHING YDS,RUSHING TD,RECEIVING RECEPTIONS,RECEIVING YARDS,RECEIVING TDS,D - SACKS,D - INTERCEPTIONS,D - FF,D - FR,PTS/GAME,TOTAL POINTS
284,16366, DeMarcus Lawrence,DAL,DE,16,0,0,0,0,0,0,0,0,6.5,0,4,1,6.6,106.15
285,19829, Minkah Fitzpatrick,PIT,FS,16,0,0,0,0,0,0,0,0,0,4,1,1,6.6,105.5
286,18037, De'Vondre Campbell,ARI,OLB,16,0,0,0,0,0,0,0,0,2,0,1,0,6.5,104.5
287,13723, Nick Foles,CHI,QB,9,1852,10,8,1,1,0,0,0,0,0,0,0,11.6,104.18
288,21, New England Patriots,NE,DST,16,0,0,0,0,0,0,0,0,24,18,5,4,6.5,104
289,19897, Tre'Quan Smith,NO,WR,14,0,0,0,3,0,34,448,4,0,0,0,0,7.4,103.1
290,26, Philadelphia Eagles,PHI,DST,16,0,0,0,0,0,0,0,0,49,8,15,13,6.4,103
290,75, New York Giants,NYG,DST,16,0,0,0,0,0,0,0,0,40,11,11,11,6.4,103
290,90, Seattle Seahawks,SEA,DST,16,0,0,0,0,0,0,0,0,46,14,14,9,6.4,103
293,11315, Brandon Graham,PHI,DE,16,0,0,0,0,0,0,0,0,8,0,2,1,6.4,102.6
294,21138, Scotty Miller,TB,WR,16,0,0,0,14,0,33,501,3,0,0,0,0,6.4,102.5
295,18979, John Johnson III,LAR,SS,16,0,0,0,0,0,0,0,0,0,1,0,0,6.4,102
295,16808, Eric Rowe,MIA,SS,16,0,0,0,0,0,0,0,0,0,2,0,1,6.4,102
297,21688, Cam Akers,LAR,RB,13,0,0,0,625,2,11,123,1,0,0,0,0,7.8,101.8
298,16552, Tre Boston,CAR,FS,16,0,0,0,0,0,0,0,0,1,1,1,2,6.4,101.7
299,21784, Zack Moss,BUF,RB,13,0,0,0,481,4,14,95,1,0,0,0,0,7.8,101.6
300,21107, Darnell Savage,GB,SS,15,0,0,0,0,0,0,0,0,1,4,0,1,6.8,101.5
